Date,Multi Factor - Wealth Maximizer,NIFTY Smallcap 100
2024-04-01,100.00,100.00
2024-04-02,101.15,101.22
2024-04-03,101.32,102.40
2024-04-04,100.87,102.86
2024-04-05,100.87,103.72
2024-04-08,100.67,104.05
2024-04-09,100.76,104.33
2024-04-10,100.79,105.09
2024-04-12,99.49,104.62
2024-04-15,98.72,102.81
2024-04-16,99.56,103.58
2024-04-18,98.94,103.28
2024-04-19,99.22,103.18
2024-04-22,100.51,104.54
2024-04-23,100.01,105.83
2024-04-24,103.74,106.21
2024-04-25,104.15,107.09
2024-04-26,103.66,107.69
2024-04-29,103.92,107.92
2024-04-30,103.68,107.89
2024-05-02,104.53,107.93
2024-05-03,104.49,107.41
2024-05-06,103.84,105.80
2024-05-07,101.30,103.80
2024-05-08,101.20,104.39
2024-05-09,98.27,101.44
2024-05-10,100.23,102.15
2024-05-13,100.57,101.71
2024-05-14,103.48,103.77
2024-05-15,103.78,104.37
2024-05-16,104.57,105.25
2024-05-17,103.98,106.99
