Date,Prime Quality - GoalFi Picks,NIFTY Multi Cap
2023-11-07,100.00,100.00
2023-11-08,101.62,100.42
2023-11-09,101.07,100.18
2023-11-10,102.37,100.40
2023-11-13,105.21,100.76
2023-11-15,107.58,101.86
2023-11-16,107.95,102.36
2023-11-17,108.27,102.40
2023-11-20,109.09,102.24
2023-11-21,110.14,102.56
2023-11-22,107.77,102.56
2023-11-23,108.26,102.63
2023-11-24,108.48,102.65
2023-11-28,109.83,103.22
2023-11-29,111.52,103.22
2023-11-30,114.02,104.66
2023-12-01,113.31,105.40
2023-12-04,113.94,107.33
2023-12-05,113.98,108.15
2023-12-06,115.44,108.68
2023-12-07,115.50,108.82
2023-12-08,113.56,108.82
2023-12-11,114.16,109.21
2023-12-12,113.74,108.72
2023-12-13,114.79,109.10
2023-12-14,116.11,110.39
2023-12-15,115.50,111.39
2023-12-18,116.82,111.45
2023-12-19,118.17,111.53
2023-12-20,111.65,109.26
2023-12-21,115.04,110.20
2023-12-22,117.45,110.86
2023-12-26,118.58,111.41
2023-12-27,119.73,112.27
2023-12-28,119.47,112.87
2023-12-29,120.62,113.04
2024-01-01,123.23,113.28
2024-01-02,122.80,112.98
2024-01-03,123.31,112.68
2024-01-04,123.37,113.69
2024-01-05,123.81,113.98
2024-01-08,122.95,112.97
2024-01-09,124.35,113.22
2024-01-10,125.86,113.56
2024-01-11,130.85,113.94
2024-01-12,130.96,114.88
2024-01-15,129.69,115.70
2024-01-16,127.49,115.36
2024-01-17,125.10,113.38
2024-01-18,125.67,112.96
2024-01-19,128.81,114.07
2024-01-20,135.78,114.05
2024-01-23,128.67,111.74
2024-01-24,133.02,113.17
2024-01-25,137.12,112.83
2024-01-29,144.29,114.68
2024-01-30,146.81,113.88
2024-01-31,148.15,115.21
2024-02-01,144.18,115.07
2024-02-02,143.93,115.84
2024-02-05,147.59,115.51
2024-02-06,151.33,116.56
2024-02-07,153.22,117.00
2024-02-08,155.27,116.29
2024-02-09,150.49,116.14
2024-02-12,139.06,114.47
2024-02-13,138.99,115.10
2024-02-14,143.02,115.91
2024-02-15,147.01,116.58
2024-02-16,148.36,117.32
2024-02-19,148.19,117.76
2024-02-20,145.49,117.94
2024-02-21,143.63,117.11
2024-02-22,142.73,118.01
2024-02-23,143.55,118.19
2024-02-26,142.58,117.85
2024-02-27,143.21,118.07
2024-02-28,139.19,116.48
2024-02-29,141.46,116.89
2024-03-01,144.11,118.40
2024-03-04,144.45,118.88
2024-03-05,144.03,118.58
2024-03-06,139.41,118.57
2024-03-07,138.91,118.89
2024-03-11,135.17,118.04
2024-03-12,132.70,117.36
2024-03-13,124.00,114.30
2024-03-14,130.13,115.87
2024-03-15,129.02,115.34
2024-03-18,129.19,115.45
2024-03-19,128.98,114.10
2024-03-20,129.32,114.22
2024-03-21,130.76,115.76
2024-03-22,132.17,116.33
2024-03-26,131.54,116.39
2024-03-27,133.50,116.87
2024-03-28,133.23,117.85
2024-04-01,138.45,119.23
2024-04-02,139.59,119.68
2024-04-03,141.31,119.89
2024-04-04,141.00,120.23
2024-04-05,141.61,120.52
2024-04-08,141.03,121.13
2024-04-09,144.48,120.96
2024-04-10,143.72,121.69
2024-04-12,143.50,120.70
2024-04-15,140.31,119.15
2024-04-16,141.11,118.82
2024-04-18,140.53,118.25
2024-04-19,141.56,118.60
2024-04-22,139.21,119.71
2024-04-23,138.70,120.16
2024-04-24,139.39,120.61
2024-04-25,140.92,121.41
2024-04-26,141.88,121.25
2024-04-29,142.22,122.13
2024-04-30,142.57,122.16
2024-05-02,143.68,122.67
2024-05-03,142.46,121.94
2024-05-06,141.80,121.39
2024-05-07,138.62,120.06
2024-05-08,138.83,120.46
2024-05-09,134.08,118.37
2024-05-10,135.29,119.09
2024-05-13,135.58,119.33
2024-05-14,138.39,120.34
2024-05-15,139.16,120.68
2024-05-16,140.95,121.77
2024-05-17,144.57,122.56
